"Education_lev_x_Some_College_minus_Extremely_Likely","DogOwner_lev_x_","EthnicDescription_catN","MedianEducationYears","Education_lev_x_HS_Diploma_minus_Likely","BookBuyerInHome_lev_x_2_book_purchases_in_home","OccupationIndustry_lev_x_Clerical_slash_Office","OccupationIndustry_lev_x_Manufacturing","OccupationIndustry_lev_x_Financial_Services","Education_lev_x_HS_Diploma_minus_Extremely_Likely","BookBuyerInHome_catP","BookBuyerInHome_lev_x_","BookBuyerInHome_lev_x_1_book_purchase_in_home_","OccupationIndustry_lev_x_Skilled_Trades","OccupationIndustry_lev_x_Medical","OccupationIndustry_lev_x_Management","OccupationIndustry_lev_x_Unknown","OccupationIndustry_catP","OccupationIndustry_lev_x_Other","OccupationIndustry_lev_x_Education","BroadEthnicGroupings_catP","ISPSA","BroadEthnicGroupings_catD","EthnicDescription_catP","BroadEthnicGroupings_catN","Education_catP","EthnicDescription_catD","Education_catD","Education_catN","NetWorth_catN","OccupationIndustry_catD","NetWorth_catP","OccupationIndustry_catN","NetWorth_catD","BookBuyerInHome_catD","BookBuyerInHome_catN","PresenceOfChildrenCode_catN","UpscaleBuyerInHome_catN","UpscaleBuyerInHome_catD","UpscaleBuyerInHome_catP","MosaicZ4_catN","Education_lev_x_Bach_Degree_minus_Extremely_Likely","BroadEthnicGroupings_lev_x_Irish","PresenceOfChildrenCode_catP","DogOwner_lev_x_Yes","MosaicZ4_catP","AnyDonation","HighSpenders","OccupationRebinned","HasPet","MagazineSubscriptionCount","gbmPred","lmPred","xgbPred","ensemblePred"
0,1,56.6195377455189,13,0,0,0,0,0,0,0.129733333333333,0,1,0,0,0,1,0.6392,0,0,0.08,8,100.759174060072,0.001,1.34935514360183,0.0634666666666667,87.9351891343947,105.299339276523,-4.19964796590176,-2.0129328871987,98.4777704868966,0.2184,-0.269804532752573,98.7666250947536,96.8279485605122,5.36700565526439,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,1,0.4706,0,0.7916,1,1,"Other",0,0,325.249405387856,370.247088182135,302.924560546875,332.807018038955
0,0,56.6195377455189,14,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.0606,6,98.8736660700706,0.001,-0.520459560200038,0.184066666666667,87.9351891343947,100.146527534892,-2.44594361468762,1.43736033194972,98.4777704868966,0.160066666666667,-0.269804532752573,99.4838694709863,98.9257727609024,-0.232746773281519,2.04412729800174,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.250733333333333,1,0.7916,0,0,"Other",1,0,326.175631152766,368.532731074526,303.698516845703,332.802293024332
0,0,56.6195377455189,14,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.0864666666666667,8,98.1953508955077,0.001,-0.797301431687458,0.1762,87.9351891343947,98.5510896458431,1.24632102738497,1.43736033194972,98.4777704868966,0.160066666666667,-0.269804532752573,99.4838694709863,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,-4.57071254324984,1,0,0.4706,1,0.0183333333333333,1,0,"Other",1,0,326.175631152766,366.234199785892,303.3759765625,331.928602500386
0,0,30.6046544494835,16,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.4066,9,98.9335721309893,0.0000666666666666667,-0.476240578249076,0.0634666666666667,145.875993627894,105.299339276523,-4.19964796590176,1.43736033194972,98.4777704868966,0.160066666666667,-0.269804532752573,99.4838694709863,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,1,0.7916,0,1,"Other",1,1,335.252716402233,347.361180413144,312.850708007812,331.821534941063
0,0,56.6195377455189,15,0,0,0,0,0,1,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.4066,8,98.9335721309893,0.001,-0.476240578249076,0.106,87.9351891343947,96.2498321195847,-2.27438498492552,-0.200421836437215,98.4777704868966,0.228466666666667,-0.269804532752573,98.4125606550901,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,1,0.7916,1,0,"Other",1,0,325.249405387856,365.123229367302,302.924560546875,331.099065100678
0,1,56.6195377455189,14,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.123666666666667,9,98.2358701542159,0.001,-3.45252162887886,0.184066666666667,87.9351891343947,100.146527534892,-2.44594361468762,-0.200421836437215,98.4777704868966,0.228466666666667,-0.269804532752573,98.4125606550901,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,0,0.7916,1,0,"Other",0,0,325.249405387856,365.782501731324,301.495330810547,330.842412643242
0,1,1.41629372062209,14,0,0,0,0,0,0,0.0495333333333333,0,0,0,0,0,1,0.6392,0,0,0.0006,9,69.3173287849107,0.000733333333333333,69.3790155246788,0.207466666666667,113.597422181145,98.5263524382467,4.11552040678816,-2.0129328871987,98.4777704868966,0.2184,-0.269804532752573,98.7666250947536,97.5794363484528,-4.42906135302161,-3.14089551821507,2.52600910962644,96.8608775543994,0.971466666666667,-2.22408194344712,0,0,0.119,0,0.0264666666666667,1,0,"Other",0,0,317.40695256049,375.142401572185,299.836944580078,330.795432904251
0,1,52.4924949106884,16,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.072,8,101.295783780048,0.0000666666666666667,1.0192167636323,0.0634666666666667,145.875993627894,105.299339276523,-4.19964796590176,-0.279819865724562,98.4777704868966,0.1902,-0.269804532752573,98.2179821366772,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,6.27615388268777,0,0,0.4706,0,0.0338,1,1,"Other",0,2,328.969726773351,362.123755787586,299.999938964844,330.364473841927
0,0,27.7409014474797,14,0,0,0,0,0,0,0.0124666666666667,0,0,0,0,0,1,0.6392,0,0,0.4066,9,98.9335721309893,0.000866666666666667,-0.476240578249076,0.1762,96.3826656739151,98.5510896458431,1.24632102738497,2.62004805982485,98.4777704868966,0.0164666666666667,-0.269804532752573,100.086037158144,102.235766551845,-2.69608222249991,3.54364717640215,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,1,0,0.049,1,0.7916,1,0,"Other",1,1,335.252716402233,340.731387213967,314.460601806641,330.148235140947
0,1,31.6153692727606,16,0,0,0,0,0,0,0.657533333333333,1,0,0,1,0,0,0.0527333333333333,0,0,0.08,8,100.759174060072,0.00266666666666667,1.34935514360183,0.207466666666667,92.3715988654078,98.5263524382467,4.11552040678816,1.43736033194972,95.1704601516014,0.160066666666667,8.02099026077769,99.4838694709863,98.9257727609024,-0.232746773281519,2.04412729800174,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,1,0.250733333333333,0,0.7916,1,0,"Healthcare",0,0,326.175631152766,362.991590941095,300.383117675781,329.850113256548
